"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Area51SportsNet: Argentina, Poland and Australia all advance to the knockout stages in a wild day at the #FIFAWorldCup @JoshuaRey91 has…",FALSE,0,NA,2022-12-01 05:43:27,FALSE,NA,"1598191022299021312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SeanWarren234",2,TRUE,FALSE,NA,NA
"RT @fcbfn_live: De Paul: “Messi is our captain, who drives the boat. Against Mexico, he opened the game and today, when he failed, we showe…",FALSE,0,NA,2022-12-01 05:43:24,FALSE,NA,"1598191009997156352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kome50837168",71,TRUE,FALSE,NA,NA
"RT @goal: ARGENTINA ARE THROUGH TO THE KNOCKOUT STAGES 🇦🇷 https://t.co/FFDUJuoiDx",FALSE,0,NA,2022-12-01 05:43:23,FALSE,NA,"1598191006544932864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Misty__Bay",3215,TRUE,FALSE,NA,NA
"RT @MikhaeIII: A group of a Saudi, this Mexico and this Poland. 

R16 against Australia 

Quarters of a mid Netherlands or the United State…",FALSE,0,NA,2022-12-01 05:43:22,FALSE,NA,"1598191003697287168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigshowsplash",145,TRUE,FALSE,NA,NA
"RT @BarcaWorldwide: 🇵🇱🗣️ Robert Lewandowski: “I had to defend a lot today, especially against Leo Messi. It was a fun little duel, but all…",FALSE,0,NA,2022-12-01 05:43:21,FALSE,NA,"1598190998424883202",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Omari16047273",93,TRUE,FALSE,NA,NA
"RT @bitgetglobal: 🙌 We've made it into Round of 16! GET IN! ⚽ Congrats, #Messi and @Argentina! 🎉

💎 To celebrate, we're giving away 10,000…",FALSE,0,NA,2022-12-01 05:43:21,FALSE,NA,"1598190996604735488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Selami1981",198,TRUE,FALSE,NA,NA
"RT @Ishaan_04: Have an exam, early morning tomorrow but will be still watching Argentia's game at ""12:30 AM"" Vamos Argentina 👊🏻🇦🇷
#FIFAWorl…",FALSE,0,NA,2022-12-01 05:43:20,FALSE,NA,"1598190993287024640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dracar_yss",63,TRUE,FALSE,NA,NA
"RT @ESPNFC: ARGENTINA TOP THE GROUP AND ARE THROUGH 🇦🇷 https://t.co/ttcMPZxmXt",FALSE,0,NA,2022-12-01 05:43:18,FALSE,NA,"1598190983987929088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","didkenobi",1817,TRUE,FALSE,NA,NA
"RT @7yhy: Argentina fans tease Saudis after they lost against Poland asking “where is Salem?” After Saudi Arabia beat Argentina, Saudi fans…",FALSE,0,NA,2022-12-01 05:43:15,FALSE,NA,"1598190974626582528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gamingmiguel__",149,TRUE,FALSE,NA,NA
"RT @FIFAWorldCup: 😍 Imagine scoring your first ever international goal at the #FIFAWorldCup 

Alexis Mac Allister seals top spot for Argent…",FALSE,0,NA,2022-12-01 05:43:13,FALSE,NA,"1598190963461324800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hrytweeps",202,TRUE,FALSE,NA,NA
